collection_no,record_type,formation,lng,lat,collection_name,collection_subset,collection_aka,n_occs,early_interval,late_interval,max_ma,min_ma,reference_no,reference_nos,collection_type,collection_methods,museum,collection_coverage,collection_size,rock_censused,collectors,collection_dates,collection_comments,taxonomy_comments,primary_reference
16002,col,Willwood,-109,44.299999,North Fork of the Shoshone River (NF-11),,,1,Lysitean,,55.8,50.3,1749,1749,,,,,,,,,,,"G. F. Gunnell, W. S. Bartels, and P. D. Ginberich, V. Torres. 1992. Wapiti Valley Faunas: Early and Middle Eocene Fossil Vertebrates from the North Fork of the Shoshone River, Park County, Wyoming. Contributions from the Museum of Paleontology, University of Michigan 28(11):247-287"
16003,col,Willwood,-109,44.299999,North Fork of the Shoshone River (NF-12),,,2,Lostcabinian,,55.8,50.3,1749,"17,496,294",,,,,,,,,,,"G. F. Gunnell, W. S. Bartels, and P. D. Ginberich, V. Torres. 1992. Wapiti Valley Faunas: Early and Middle Eocene Fossil Vertebrates from the North Fork of the Shoshone River, Park County, Wyoming. Contributions from the Museum of Paleontology, University of Michigan 28(11):247-287"
16004,col,Willwood,-109,44.299999,North Fork of the Shoshone River (PU-A),,,1,Lysitean,,55.8,50.3,1749,1749,,,,,,,,,,stratigraphic level is uncertain,"G. F. Gunnell, W. S. Bartels, and P. D. Ginberich, V. Torres. 1992. Wapiti Valley Faunas: Early and Middle Eocene Fossil Vertebrates from the North Fork of the Shoshone River, Park County, Wyoming. Contributions from the Museum of Paleontology, University of Michigan 28(11):247-287"
16005,col,Willwood,-109,44.299999,North Fork of the Shoshone River (PU-B),,,8,Lostcabinian,,55.8,50.3,1749,"17,496,294",,,,,,,,,,stratigraphic level is uncertain,"G. F. Gunnell, W. S. Bartels, and P. D. Ginberich, V. Torres. 1992. Wapiti Valley Faunas: Early and Middle Eocene Fossil Vertebrates from the North Fork of the Shoshone River, Park County, Wyoming. Contributions from the Museum of Paleontology, University of Michigan 28(11):247-287"
16006,col,,-105.699997,43.900002,North Pumpkin Butte (UCM 83197),,,3,Wasatchian,,55.8,50.3,2929,"2,927,292,964,919",,,UCM,some genera,,,,,,,"P. Robinson and B. A. Williams. 1997. Species diversity, tooth size, and shape of Haplomylus (Condylarthra, Hyopsodontidae) from the Powder River Basin, northeastern Wyoming. Contributions to Geology, University of Wyoming 31(2):59-78"
16007,col,,-105.699997,43.900002,North Pumpkin Butte (UCM 83198),,,5,Wasatchian,,55.8,50.3,2929,"21,832,927,292,964,900",,,UCM,some genera,,,,,,,"P. Robinson and B. A. Williams. 1997. Species diversity, tooth size, and shape of Haplomylus (Condylarthra, Hyopsodontidae) from the Powder River Basin, northeastern Wyoming. Contributions to Geology, University of Wyoming 31(2):59-78"
16008,col,Indian Meadows,-108.199997,43.200001,Northwest Corner of Shotgun Butte,,,3,Wasatchian,,55.8,50.3,2056,"20,566,294",,,,,,,,,,"Keefer 1965 lists ""Creodont (mesonychid?)"" and it is not  clear why this is omitted here because Keefer's list seems  to be more preliminary","W. R. Keefer and M. L. Troyer. 1964. Geology of the Shotgun Butte area, Fremont County, Wyoming. United States Geological Survey Bulletin 1157:1-123"
16009,col,Wind River,-107.099998,43.200001,Okie Trail 1,,CM 936,4,Wasatchian,,55.8,50.3,6223,6223,taxonomic,,,some genera,,,,,,,"A. D. Redline. 1997. Revision of the Wind River faunas, early Eocene of central Wyoming. Part 13. Systematics and phylogenetic pattern of early Eocene Hyopsodus (Mammalia: Condylarthra). Annals of Carnegie Museum 66(1):1-81"
16010,col,Wind River,-107.099998,43.200001,Okie Trail 2,,CM 1049,2,Wasatchian,,55.8,50.3,6223,"21,836,223",taxonomic,,,some genera,,,,,,,"A. D. Redline. 1997. Revision of the Wind River faunas, early Eocene of central Wyoming. Part 13. Systematics and phylogenetic pattern of early Eocene Hyopsodus (Mammalia: Condylarthra). Annals of Carnegie Museum 66(1):1-81"
16011,col,Wind River,-107.099998,43.200001,Okie Trail 3,,CM 1050,1,Wasatchian,,55.8,50.3,6223,6223,taxonomic,,,some genera,,,,,,,"A. D. Redline. 1997. Revision of the Wind River faunas, early Eocene of central Wyoming. Part 13. Systematics and phylogenetic pattern of early Eocene Hyopsodus (Mammalia: Condylarthra). Annals of Carnegie Museum 66(1):1-81"
16012,col,Wind River,-107.099998,43.200001,Okie Trail 4,,CM 1051,1,Wasatchian,,55.8,50.3,6223,6223,taxonomic,,,some genera,,,,,,,"A. D. Redline. 1997. Revision of the Wind River faunas, early Eocene of central Wyoming. Part 13. Systematics and phylogenetic pattern of early Eocene Hyopsodus (Mammalia: Condylarthra). Annals of Carnegie Museum 66(1):1-81"
16013,col,Wind River,-107.099998,43.200001,Okie Trail 5,,CM 858,2,Wasatchian,,55.8,50.3,6223,"33,356,223",taxonomic,,,some genera,,,,,,,"A. D. Redline. 1997. Revision of the Wind River faunas, early Eocene of central Wyoming. Part 13. Systematics and phylogenetic pattern of early Eocene Hyopsodus (Mammalia: Condylarthra). Annals of Carnegie Museum 66(1):1-81"
16014,col,Wind River,-108.199997,43.200001,Pavillion,,CM 1952,2,Wasatchian,,55.8,50.3,6223,6223,taxonomic,,,some genera,,,,,,"all places names including ""Pavillion"" in Wyoming are in Fremont County","A. D. Redline. 1997. Revision of the Wind River faunas, early Eocene of central Wyoming. Part 13. Systematics and phylogenetic pattern of early Eocene Hyopsodus (Mammalia: Condylarthra). Annals of Carnegie Museum 66(1):1-81"
16015,col,"""Wasatch""",-106.599998,44,Powder River 38-41/41-33,,,4,Wasatchian,,55.8,50.3,1358,"135,821,836,294",,,,,,,,,,,"E. Delson. 1971. Fossil mammals of the early Wasatchian Powder River local fauna, Eocene of northeast. Bulletin of the American Museum of Natural History 146(4)"
16016,col,"""Wasatch""",-106.599998,44,Powder River 51-3/31/32,,FC 3 of Hough,5,Wasatchian,,55.8,50.3,1358,"1,358,166,616,756,290",,,,,,,,,,,"E. Delson. 1971. Fossil mammals of the early Wasatchian Powder River local fauna, Eocene of northeast. Bulletin of the American Museum of Natural History 146(4)"
16017,col,"""Wasatch""",-106.599998,44,Powder River 51-11/12/13,,,6,Wasatchian,,55.8,50.3,1358,"13,581,666,167,521,800,000",,,,,,,,,,,"E. Delson. 1971. Fossil mammals of the early Wasatchian Powder River local fauna, Eocene of northeast. Bulletin of the American Museum of Natural History 146(4)"
16018,col,"""Wasatch""",-106.599998,44,Powder River 51-18/44/45,,,5,Wasatchian,,55.8,50.3,1358,"135,816,756,294",,,,,,,,,,,"E. Delson. 1971. Fossil mammals of the early Wasatchian Powder River local fauna, Eocene of northeast. Bulletin of the American Museum of Natural History 146(4)"
16019,col,"""Wasatch""",-106.599998,44,Powder River 51-19,,,2,Wasatchian,,55.8,50.3,1358,"135,816,666,294",,,,,,,,,,,"E. Delson. 1971. Fossil mammals of the early Wasatchian Powder River local fauna, Eocene of northeast. Bulletin of the American Museum of Natural History 146(4)"
16020,col,"""Wasatch""",-106.599998,44,Powder River 51-20/21/22/23/24,,,10,Wasatchian,,55.8,50.3,1358,"135,816,621,668,218,000,000,000",,,,,,,,,,,"E. Delson. 1971. Fossil mammals of the early Wasatchian Powder River local fauna, Eocene of northeast. Bulletin of the American Museum of Natural History 146(4)"
16021,col,"""Wasatch""",-106.599998,44,Powder River 51-25/51-30/61-1,,,10,Wasatchian,,55.8,50.3,1358,"11,251,358,166,616,700,000",,,,,,,,,,,"E. Delson. 1971. Fossil mammals of the early Wasatchian Powder River local fauna, Eocene of northeast. Bulletin of the American Museum of Natural History 146(4)"
16022,col,"""Wasatch""",-106.599998,44,Powder River 51-33,,,3,Wasatchian,,55.8,50.3,1358,"13,581,662",,,,,,,,,,,"E. Delson. 1971. Fossil mammals of the early Wasatchian Powder River local fauna, Eocene of northeast. Bulletin of the American Museum of Natural History 146(4)"
16023,col,"""Wasatch""",-106.599998,44,Powder River 51-34,,,2,Wasatchian,,55.8,50.3,1358,"13,586,294",,,,,,,,,,,"E. Delson. 1971. Fossil mammals of the early Wasatchian Powder River local fauna, Eocene of northeast. Bulletin of the American Museum of Natural History 146(4)"
16024,col,"""Wasatch""",-106.599998,44,Powder River 51-35,,,5,Wasatchian,,55.8,50.3,1358,"1,358,167,521,836,290",,,,,,,,,,,"E. Delson. 1971. Fossil mammals of the early Wasatchian Powder River local fauna, Eocene of northeast. Bulletin of the American Museum of Natural History 146(4)"
16025,col,"""Wasatch""",-106.599998,44,Powder River 51-49/50/51/52,,,2,Wasatchian,,55.8,50.3,1358,1358,,,,,,,,,,,"E. Delson. 1971. Fossil mammals of the early Wasatchian Powder River local fauna, Eocene of northeast. Bulletin of the American Museum of Natural History 146(4)"
16026,col,"""Wasatch""",-106.599998,44,Powder River 51-58,,,2,Wasatchian,,55.8,50.3,1358,"13,581,662",,,,,,,,,,,"E. Delson. 1971. Fossil mammals of the early Wasatchian Powder River local fauna, Eocene of northeast. Bulletin of the American Museum of Natural History 146(4)"
16027,col,"""Wasatch""",-106.599998,44,Powder River 51-62,,,7,Wasatchian,,55.8,50.3,1358,"13,581,662,167,521,800,000",,,,,,,,,,,"E. Delson. 1971. Fossil mammals of the early Wasatchian Powder River local fauna, Eocene of northeast. Bulletin of the American Museum of Natural History 146(4)"
16028,col,"""Wasatch""",-106.599998,44,Powder River 52-12/13/14/15,,,7,Wasatchian,,55.8,50.3,1358,"13,586,294",,,,,,,,,,,"E. Delson. 1971. Fossil mammals of the early Wasatchian Powder River local fauna, Eocene of northeast. Bulletin of the American Museum of Natural History 146(4)"
16029,col,"""Wasatch""",-106.599998,44,Powder River 52-20/21,,,5,Wasatchian,,55.8,50.3,1358,"135,816,756,294",,,,,,,,,,,"E. Delson. 1971. Fossil mammals of the early Wasatchian Powder River local fauna, Eocene of northeast. Bulletin of the American Museum of Natural History 146(4)"
16030,col,"""Wasatch""",-106.599998,44,Powder River 52-31,,,2,Wasatchian,,55.8,50.3,1358,1358,,,,,,,,,,,"E. Delson. 1971. Fossil mammals of the early Wasatchian Powder River local fauna, Eocene of northeast. Bulletin of the American Museum of Natural History 146(4)"
16031,col,"""Wasatch""",-106.599998,44,Powder River 52-32/34,,,2,Wasatchian,,55.8,50.3,1358,"11,251,358",,,,,,,,,,,"E. Delson. 1971. Fossil mammals of the early Wasatchian Powder River local fauna, Eocene of northeast. Bulletin of the American Museum of Natural History 146(4)"
16032,col,"""Wasatch""",-106.599998,44,Powder River 52-36,,,6,Wasatchian,,55.8,50.3,1358,"1,358,167,521,836,290",,,,,,,,,,,"E. Delson. 1971. Fossil mammals of the early Wasatchian Powder River local fauna, Eocene of northeast. Bulletin of the American Museum of Natural History 146(4)"
16033,col,"""Wasatch""",-106.599998,44,Powder River 52-37,,,4,Wasatchian,,55.8,50.3,1358,"135,821,836,294",,,,,,,,,,,"E. Delson. 1971. Fossil mammals of the early Wasatchian Powder River local fauna, Eocene of northeast. Bulletin of the American Museum of Natural History 146(4)"
16034,col,,-106.599998,44,Powder River (UCM 81004),,,1,Wasatchian,,55.8,50.3,2929,2929,,,UCM,some genera,,,,,,apparently identical to one of Delson's AMNH localities,"P. Robinson and B. A. Williams. 1997. Species diversity, tooth size, and shape of Haplomylus (Condylarthra, Hyopsodontidae) from the Powder River Basin, northeastern Wyoming. Contributions to Geology, University of Wyoming 31(2):59-78"
16035,col,,-106.599998,44,Powder River (UCM 83117),,,5,Wasatchian,,55.8,50.3,2927,"29,272,929",,,UCM,some genera,,,,,,,"P. Robinson and L. D. Ivy. 1994. Paromomyidae (?Dermoptera) from the Powder River Basin, Wyoming and a discussion of microevolution in closely related species. Contributions to Geology, University of Wyoming 30(1):91-116"
16036,col,,-106.599998,44,Powder River (UCM 83229),,,2,Wasatchian,,55.8,50.3,2929,"29,272,929",,,UCM,some genera,,,,,,"not shown on map or discussed by Robinson and Ivy 1994, but referred to again by Robinson and Williams 1997","P. Robinson and B. A. Williams. 1997. Species diversity, tooth size, and shape of Haplomylus (Condylarthra, Hyopsodontidae) from the Powder River Basin, northeastern Wyoming. Contributions to Geology, University of Wyoming 31(2):59-78"
16037,col,,-106.599998,44,Powder River (UCM 8430),,,1,Wasatchian,,55.8,50.3,2336,2336,,,UCM,some genera,,,,,,strat level not indicated,M. C. Maas and M. O'Leary. 1996. Evolution of molar enamel microstructure in North American Notharctidae (primates). Journal of Human Evolution 31
16038,col,,-106.599998,44,Powder River (UCM 84116),,,2,Wasatchian,,55.8,50.3,2929,"29,272,929",,,UCM,some genera,,,,,,,"P. Robinson and B. A. Williams. 1997. Species diversity, tooth size, and shape of Haplomylus (Condylarthra, Hyopsodontidae) from the Powder River Basin, northeastern Wyoming. Contributions to Geology, University of Wyoming 31(2):59-78"
16039,col,,-106.599998,44,Powder River (UCM 84117),,,5,Wasatchian,,55.8,50.3,2929,"2,926,292,729,295,310,000,000",,,UCM,some genera,,,,,,,"P. Robinson and B. A. Williams. 1997. Species diversity, tooth size, and shape of Haplomylus (Condylarthra, Hyopsodontidae) from the Powder River Basin, northeastern Wyoming. Contributions to Geology, University of Wyoming 31(2):59-78"
16040,col,,-106.599998,44,Powder River (UCM 84118),,,5,Wasatchian,,55.8,50.3,2929,"292,729,295,310,564,000",,,UCM,some genera,,,,,,,"P. Robinson and B. A. Williams. 1997. Species diversity, tooth size, and shape of Haplomylus (Condylarthra, Hyopsodontidae) from the Powder River Basin, northeastern Wyoming. Contributions to Geology, University of Wyoming 31(2):59-78"
16041,col,,-106.599998,44,Powder River (UCM 84124),,,4,Wasatchian,,55.8,50.3,2929,"29,295,310,564,919",,,UCM,some genera,,,,,,,"P. Robinson and B. A. Williams. 1997. Species diversity, tooth size, and shape of Haplomylus (Condylarthra, Hyopsodontidae) from the Powder River Basin, northeastern Wyoming. Contributions to Geology, University of Wyoming 31(2):59-78"
16042,col,,-106.599998,44,Powder River (UCM 85276),,,3,Wasatchian,,55.8,50.3,2929,"292,953,105",,,UCM,some genera,,,,,,,"P. Robinson and B. A. Williams. 1997. Species diversity, tooth size, and shape of Haplomylus (Condylarthra, Hyopsodontidae) from the Powder River Basin, northeastern Wyoming. Contributions to Geology, University of Wyoming 31(2):59-78"
16043,col,,-106.599998,44,Powder River (UCM 85277),,,1,Wasatchian,,55.8,50.3,2929,2929,,,UCM,some genera,,,,,,,"P. Robinson and B. A. Williams. 1997. Species diversity, tooth size, and shape of Haplomylus (Condylarthra, Hyopsodontidae) from the Powder River Basin, northeastern Wyoming. Contributions to Geology, University of Wyoming 31(2):59-78"
16044,col,,-106.599998,44,Powder River (UCM 85278),,,3,Wasatchian,,55.8,50.3,2927,"29,272,929",taxonomic,"anthill,field collection",UCM,some genera,,,,"1981, 1983",,,"P. Robinson and L. D. Ivy. 1994. Paromomyidae (?Dermoptera) from the Powder River Basin, Wyoming and a discussion of microevolution in closely related species. Contributions to Geology, University of Wyoming 30(1):91-116"
16045,col,,-106.599998,44,Powder River (UCM 86098),,,1,Wasatchian,,55.8,50.3,2929,2929,,,UCM,some genera,,,,,,,"P. Robinson and B. A. Williams. 1997. Species diversity, tooth size, and shape of Haplomylus (Condylarthra, Hyopsodontidae) from the Powder River Basin, northeastern Wyoming. Contributions to Geology, University of Wyoming 31(2):59-78"
16046,col,,-106.599998,44,Powder River (UCM 89077),,,1,Wasatchian,,55.8,50.3,2929,2929,,,UCM,some genera,,,,,,,"P. Robinson and B. A. Williams. 1997. Species diversity, tooth size, and shape of Haplomylus (Condylarthra, Hyopsodontidae) from the Powder River Basin, northeastern Wyoming. Contributions to Geology, University of Wyoming 31(2):59-78"
16047,col,,-106.599998,44,Powder River (UCM 89078),,,1,Wasatchian,,55.8,50.3,2929,2929,,,UCM,some genera,,,,,,,"P. Robinson and B. A. Williams. 1997. Species diversity, tooth size, and shape of Haplomylus (Condylarthra, Hyopsodontidae) from the Powder River Basin, northeastern Wyoming. Contributions to Geology, University of Wyoming 31(2):59-78"
16048,col,,-106.599998,44,Powder River (UCM 89079),,,1,Wasatchian,,55.8,50.3,2929,2929,,,UCM,some genera,,,,,,,"P. Robinson and B. A. Williams. 1997. Species diversity, tooth size, and shape of Haplomylus (Condylarthra, Hyopsodontidae) from the Powder River Basin, northeastern Wyoming. Contributions to Geology, University of Wyoming 31(2):59-78"
16049,col,,-106.599998,44,Powder River (UCM 91054),,,4,Wasatchian,,55.8,50.3,2929,"29,295,310,564,919",,,UCM,some genera,,,,,,,"P. Robinson and B. A. Williams. 1997. Species diversity, tooth size, and shape of Haplomylus (Condylarthra, Hyopsodontidae) from the Powder River Basin, northeastern Wyoming. Contributions to Geology, University of Wyoming 31(2):59-78"
16050,col,,-106.599998,44,Powder River (UCM 91056),,,3,Wasatchian,,55.8,50.3,2929,"29,295,310,564,919",,,UCM,some genera,,,,,,,"P. Robinson and B. A. Williams. 1997. Species diversity, tooth size, and shape of Haplomylus (Condylarthra, Hyopsodontidae) from the Powder River Basin, northeastern Wyoming. Contributions to Geology, University of Wyoming 31(2):59-78"
16051,col,,-106.599998,44,Powder River (UCM 92146),,,3,Wasatchian,,55.8,50.3,2929,"292,964,919",,,UCM,some genera,,,,,,,"P. Robinson and B. A. Williams. 1997. Species diversity, tooth size, and shape of Haplomylus (Condylarthra, Hyopsodontidae) from the Powder River Basin, northeastern Wyoming. Contributions to Geology, University of Wyoming 31(2):59-78"
16052,col,,-106.599998,44,Powder River (UCM ),,,1,Wasatchian,,55.8,50.3,2929,2929,,,UCM,some genera,,,,,,,"P. Robinson and B. A. Williams. 1997. Species diversity, tooth size, and shape of Haplomylus (Condylarthra, Hyopsodontidae) from the Powder River Basin, northeastern Wyoming. Contributions to Geology, University of Wyoming 31(2):59-78"
16053,col,,-105.699997,43.900002,Pumpkin Buttes (UCM 85279),,,1,Wasatchian,,55.8,50.3,3401,3401,,,UCM,,,,,,,"said to be the lowest locality in a ""300 m"" section; not clear how this relates to the 380 m section of Robinson and Ivy 1994<br>only one specimen","J. G. M. Thewissen. 1990. Evolution of Paleocene and Eocene Phenacodontidae (Mammalia, Condylarthra). University of Michigan Papers on Paleontology 29:1-107"
16054,col,Wind River,-108.199997,43.200001,Rate Draw 1,,CM 1959,1,Wasatchian,,55.8,50.3,6223,6223,taxonomic,,,some genera,,,,,,,"A. D. Redline. 1997. Revision of the Wind River faunas, early Eocene of central Wyoming. Part 13. Systematics and phylogenetic pattern of early Eocene Hyopsodus (Mammalia: Condylarthra). Annals of Carnegie Museum 66(1):1-81"
16055,col,"""Wasatch""",-106.599998,44,Reculusa Blowout,,UCM 81002,30,Wasatchian,,55.8,50.3,1358,"11,251,358,166,216,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",,,,,225 specimens,,,,,305 m level in Robinson and Ivy 1994 section,"E. Delson. 1971. Fossil mammals of the early Wasatchian Powder River local fauna, Eocene of northeast. Bulletin of the American Museum of Natural History 146(4)"
16056,col,top of Lower Variegated Sequence,-108.199997,43.200001,Rocking Chair Ranch,,,3,Wasatchian,,55.8,50.3,2054,"20,546,294",,,,,,,,,,SW 1/4 sec 30 T 42N R 106W,"W. R. Keefer. 1957. Geology of the Du Noir area, Fremont County, Wyoming. United States Geological Survey Professional Paper 294-E:155-221"
16057,col,Wind River,-105.800003,41.599998,Shirley Basin Wind River 1,,,2,Wasatchian,,55.8,50.3,1803,"18,036,294",,,,,,,,,,,"E. N. Harshman. 1972. Geology and uranium deposits, Shirley Basin area, Wyoming. United States Geological Survey Professional Paper 745:1-82"
16058,col,Wind River,-107,41.799999,Shirley Basin Wind River 2,,,1,Wasatchian,,55.8,50.3,1803,1803,,,,,,,,,,,"E. N. Harshman. 1972. Geology and uranium deposits, Shirley Basin area, Wyoming. United States Geological Survey Professional Paper 745:1-82"
16059,col,Wind River,-107.099998,43.200001,Shirley Basin Wind River 3,,,2,Wasatchian,,55.8,50.3,1803,"18,036,294",,,,,,,,,,,"E. N. Harshman. 1972. Geology and uranium deposits, Shirley Basin area, Wyoming. United States Geological Survey Professional Paper 745:1-82"
16060,col,Wind River,-107.099998,43.200001,Shirley Basin Wind River 4,,,2,Wasatchian,,55.8,50.3,1803,"18,036,294",,,,,,,,,,,"E. N. Harshman. 1972. Geology and uranium deposits, Shirley Basin area, Wyoming. United States Geological Survey Professional Paper 745:1-82"
16061,col,Willwood,-109,44.299999,South Fork of the Shoshone River (SF-2),,,1,Lysitean,,55.8,50.3,1749,1749,,,,,,,,,,level is approximate,"G. F. Gunnell, W. S. Bartels, and P. D. Ginberich, V. Torres. 1992. Wapiti Valley Faunas: Early and Middle Eocene Fossil Vertebrates from the North Fork of the Shoshone River, Park County, Wyoming. Contributions from the Museum of Paleontology, University of Michigan 28(11):247-287"
16062,col,Wind River,-107.099998,43.200001,Turtle Blues/Oakie Trail Quarry,,,5,Wasatchian,,55.8,50.3,2104,"21,046,294",,,,,,,,,,"secs 1, 2, 11 T39N R89W; this is just east of the county line<br>very low within mbr.<br>one quarry with two names, NOT a composite list",W. W. Korth. 1982. Annals of Carnegie Museum 51(4)
16063,col,Lower Variegated Sequence,-108.199997,43.200001,2N Ranch,,,1,Wasatchian,,55.8,50.3,2054,2054,,,,,,,,,,S 1/2 sec 32 T 41N R 106W,"W. R. Keefer. 1957. Geology of the Du Noir area, Fremont County, Wyoming. United States Geological Survey Professional Paper 294-E:155-221"
16064,col,Wind River,-108.199997,43.200001,UCM 78172,,,1,Wasatchian,,55.8,50.3,3647,3647,,,UCM,some genera,,,,,,county assignment is a guess,"T. E. Williamson and S. G. Lucas. 1992. Meniscotherium (Mammalia, ""Condylarthra) from the Paleocene-Eocene of Western North America). New Mex Museum of Natural History Science Bulletin 1:1-75"
16065,col,,-107.099998,43.200001,UCM 79043,,,1,Wasatchian,,55.8,50.3,6223,6223,taxonomic,,UCM,some genera,,,,,,no other data given; county assignment is a guess based on location of UCM 79045 (see),"A. D. Redline. 1997. Revision of the Wind River faunas, early Eocene of central Wyoming. Part 13. Systematics and phylogenetic pattern of early Eocene Hyopsodus (Mammalia: Condylarthra). Annals of Carnegie Museum 66(1):1-81"
16066,col,Wind River,-107.099998,43.200001,UCM 80088,,,1,Wasatchian,,55.8,50.3,6223,6223,taxonomic,,UCM,some genera,,,,,,county assignment is a guess based on location of UCM 80089 (see),"A. D. Redline. 1997. Revision of the Wind River faunas, early Eocene of central Wyoming. Part 13. Systematics and phylogenetic pattern of early Eocene Hyopsodus (Mammalia: Condylarthra). Annals of Carnegie Museum 66(1):1-81"
16067,col,Wind River,-107.099998,43.200001,UCM 80089,,,5,Wasatchian,,55.8,50.3,3329,3329,biostratigraphic,,UCM,,6 specimens,,,,,NISP 6,"R. K. Stucky. 1984. Revision of the Wind River faunas, early Eocene of central Wyoming. Part 5. Geology and biostratigraphy of the upper part of the Wind River Formation, northeastern Wind River Basin. Annals of Carnegie Museum 53(9):231-294"
16068,col,Wind River,-107.099998,43.200001,UCM 81009,,,5,Lostcabinian,,55.8,50.3,3329,3329,biostratigraphic,,UCM,,4 specimens,,,,,"NISP 4, excluding generically indeterminate records","R. K. Stucky. 1984. Revision of the Wind River faunas, early Eocene of central Wyoming. Part 5. Geology and biostratigraphy of the upper part of the Wind River Formation, northeastern Wind River Basin. Annals of Carnegie Museum 53(9):231-294"
16069,col,Wind River,-108.199997,43.200001,UCM 83224,,,1,Wasatchian,,55.8,50.3,3647,3647,,,UCM,some genera,,,,,,county assignment is a guess,"T. E. Williamson and S. G. Lucas. 1992. Meniscotherium (Mammalia, ""Condylarthra) from the Paleocene-Eocene of Western North America). New Mex Museum of Natural History Science Bulletin 1:1-75"
16070,col,Wasatch,-109,41.700001,UCM 88030,,,1,Wasatchian,,55.8,50.3,2336,"23,366,294",,,UCM,some genera,,,,,,,M. C. Maas and M. O'Leary. 1996. Evolution of molar enamel microstructure in North American Notharctidae (primates). Journal of Human Evolution 31
16071,col,Wasatch,-109,41.700001,UCM 88043,,,2,Wasatchian,,55.8,50.3,2336,"233,651,349",,,UCM,some genera,,,,,,,M. C. Maas and M. O'Leary. 1996. Evolution of molar enamel microstructure in North American Notharctidae (primates). Journal of Human Evolution 31
16072,col,Wasatch,-109,41.700001,UW V-58002,,,1,Wasatchian,,55.8,50.3,3647,3647,,,UW,some genera,,,,,,,"T. E. Williamson and S. G. Lucas. 1992. Meniscotherium (Mammalia, ""Condylarthra) from the Paleocene-Eocene of Western North America). New Mex Museum of Natural History Science Bulletin 1:1-75"
16073,col,Wind River,-107.099998,43.200001,Viverravus Locality,,UCM 81008,28,Lostcabinian,,55.8,50.3,3329,"10,452,183,332,933,300,000",biostratigraphic,,,,33 specimens,,,,,"NISP 33, excluding generically indeterminate records and Ageina","R. K. Stucky. 1984. Revision of the Wind River faunas, early Eocene of central Wyoming. Part 5. Geology and biostratigraphy of the upper part of the Wind River Formation, northeastern Wind River Basin. Annals of Carnegie Museum 53(9):231-294"
16074,col,Wind River,-107.099998,43.200001,Waltman,,Keefer Collection U,8,Wasatchian,,55.8,50.3,2055,"20,556,294",,,,,,,,,,,"W. R. Keefer. 1965. Stratigraphy and geologic history of the uppermost Cretaceous, Paleocene, and Lower Eocene rocks in the Wind River Basin, Wyoming. United States Geological Survey Professional Paper. Washington: United States Geological Survey. 495-A:A1-A77"
16075,col,Lower Variegated Sequence,-108.199997,43.200001,West of Horse Creek,,Keefer Collection 2,6,Wasatchian,,55.8,50.3,2054,2054,,,,,,,,,,N 1/2 sec 29 T 42N R 107W,"W. R. Keefer. 1957. Geology of the Du Noir area, Fremont County, Wyoming. United States Geological Survey Professional Paper 294-E:155-221"
16076,col,Wind River,-107.099998,43.200001,West Red Creek,,UCM 80083,7,Lostcabinian,,55.8,50.3,3329,"33,296,294",biostratigraphic,,,,8 specimens,,,,,NISP 8,"R. K. Stucky. 1984. Revision of the Wind River faunas, early Eocene of central Wyoming. Part 5. Geology and biostratigraphy of the upper part of the Wind River Formation, northeastern Wind River Basin. Annals of Carnegie Museum 53(9):231-294"
16077,col,Wind River,-107.099998,43.200001,Wild Horse Butte (Wyoming),,CM 1011,1,Wasatchian,,55.8,50.3,6223,6223,taxonomic,,,some genera,,,,,,there is a Wild Horse Butte in Natrona County but not Fremont County,"A. D. Redline. 1997. Revision of the Wind River faunas, early Eocene of central Wyoming. Part 13. Systematics and phylogenetic pattern of early Eocene Hyopsodus (Mammalia: Condylarthra). Annals of Carnegie Museum 66(1):1-81"
16078,col,Wind River,-107.099998,43.200001,Wolton,,Guthrie Locality 2,25,Lostcabinian,,55.8,50.3,3329,"218,333,296,294",biostratigraphic,,,,,,,,,position relative to Davis Ranch (and by extension all other localities) is not resolved,"R. K. Stucky. 1984. Revision of the Wind River faunas, early Eocene of central Wyoming. Part 5. Geology and biostratigraphy of the upper part of the Wind River Formation, northeastern Wind River Basin. Annals of Carnegie Museum 53(9):231-294"
16079,col,Bridger,-110.099998,42.700001,1375 No.8,,B-8,6,Bridgerian,,50.3,46.2,3596,"35,966,294",,,,,12 specimens,,,,,,"R. M. West. 1973. Geology and mammalian paleontology of the New Fork-Big Sandy area, Sublette County, Wyoming. Fieldiana: Geology 29"
16080,col,Bridger,-110.5,41.200001,28 Far West,,28FW; MPM 1098,2,Bridgerian,,50.3,46.2,2187,"21,873,606",,,,some genera,,,,,,"see Lillegraven et al. 1981<br>""Centetodon sp."" form ""B"" of Krishtalka and West 1979 from  Bridger C is omitted by Lillegraven et al. 1981",L. Krishtalka and R. M. West. 1979. Milwaukee Public Museum Contributions in Biology and Geology 27
16081,col,,-109,44.299999,Aycross-like Beds,,UW V-79008,6,Bridgerian,,50.3,46.2,1404,"140,421,066,294",,,UW,,,,,,,above Foster Reservoir and below all other Carter Mtn sites,"J. G. Eaton. 1982. Paleontology and correlation of Eocene volcanic rocks in the Carter Mountain area, Park County, southeastern Absaroka Range, Wyoming. Contributions to Geology, University of Wyoming 21(2):153-194"
